"RefDes","Name","Pattern","X (in)","Y (in)","Side","Rotate","Value"
"C1","CAP_0805","CAP_0805","0.9565","1.3064","Top","90.0","100nF"
"C2","CAP_0805","CAP_0805","0.6065","1.4189","Top","90.0","100nF"
"LED1","LED_0805","LED_0805","0.769","1.769","Top","270.0",""
"LED2","LED_0805","LED_0805","0.8753","1.769","Top","270.0",""
"LED3","LED_0805","LED_0805","0.9815","1.769","Top","270.0",""
"MOD1","CNC_Module_Socket_V3","CNC_Module_V3","1.0239","1.9688","Top","0.0",""
"OPT1","EL817","SDIP-4V1","1.1815","1.3967","Top","270.0","EL817"
"OPT2","EL817","SDIP-4V1","1.419","1.3967","Top","270.0","EL817"
"R1","RES_0805","RES_0805","1.2315","1.6967","Top","270.0","300"
"R2","RES_0805","RES_0805","0.769","1.619","Top","270.0","300"
"R3","RES_0805","RES_0805","0.8753","1.619","Top","270.0","300"
"R4","RES_0805","RES_0805","1.469","1.6967","Top","270.0","300"
"R5","RES_0805","RES_0805","0.9815","1.619","Top","270.0","300"
"R6","RES_0805","RES_0805","0.542","1.7083","Top","270.0","10k"
"R7","POT","EVM3ES","0.544","0.794","Top","180.0","20k"
"R8","RES_0805","RES_0805","0.6315","1.0439","Top","90.0","4.99k"
"R9","RES_0805","RES_0805","0.6499","1.7049","Top","270.0","10k"
"R10","RES_0805","RES_0805","0.544","1.0441","Top","270.0","10k"
"TB1","TB_3.5mm_5POS_PHOENIX_1945119","TB_HEADER_5P_194","0.9565","0.744","Top","0.0",""
"U1","LM358P","SOIC-8/150mil","0.7815","1.3503","Top","90.0",""
