"RefDes","Name","Pattern","X (in)","Y (in)","Side","Rotate","Value"
"C9","CAP_0805","CAP_0805","1.194","1.469","Top","90.0","100nF"
"LED1","LED_0805","LED_0805","0.6627","1.1252","Top","270.0",""
"LED2","LED_0805","LED_0805","0.794","1.1315","Top","270.0",""
"LED3","LED_0805","LED_0805","0.9378","1.1252","Top","270.0",""
"LED4","LED_0805","LED_0805","1.0752","1.1252","Top","270.0",""
"MOD1","CNC_Module_Socket_V3","CNC_Module_V3","1.0239","1.9688","Top","0.0",""
"R2","RES_0603","RES_0603","0.7628","1.2315","Top","0.0","300"
"R1","RES_0603","RES_0603","0.5565","1.1252","Top","90.0","300"
"R3","RES_0603","RES_0603","0.9752","1.2378","Top","180.0","300"
"R4","RES_0603","RES_0603","1.1627","1.1252","Top","90.0","300"
"TB1","TB_3p5mm_5POS","TB_HEADER_5P_194","0.8664","0.7877","Top","0.0",""
"U5","SN74ACT245DW","SOIC-20/300mil","0.869","1.544","Top","270.0","74ACT245"
"R7","RES_0603","RES_0603","0.5128","1.6565","Top","180.0","10K"
"R8","RES_0603","RES_0603","0.5128","1.5878","Top","180.0","10K"
"R9","RES_0603","RES_0603","0.5128","1.5253","Top","180.0","10K"
"R10","RES_0603","RES_0603","0.5128","1.4628","Top","180.0","10K"
