"RefDes","Name","Pattern","X (mm)","Y (mm)","Side","Rotate","Value"
"C1","CAP_0805","CAP_0805","13.492","46.989","Top","90.0","1uF"
"C2","CAP_0805","CAP_0805","13.493","42.226","Top","270.0","1uF"
"C3","CAP_0805","CAP_0805","18","29.5","Top","90.0","2.2uF"
"C4","CAP_0603","CAP_0603","40.004","45.084","Top","270.0","100nF"
"C5","CAP_NP_0603","CAP_0603","26.034","39.528","Top","180.0","100nF"
"C6","CAP_NP_0603","CAP_0603","31.114","39.528","Top","180.0","100nF"
"C7","CAP_NP_0603","CAP_0603","36.194","39.528","Top","180.0","100nF"
"C8","CAP_NP_0603","CAP_0603","20.954","39.528","Top","180.0","100nF"
"MOD1","CNC_Module_Socket_V3","CNC_Module_V3","26","50","Top","0.0",""
"OPT1","TLP521-4","TLP521-4SM","29","33.822","Top","180.0","TP521-4"
"PS1","B0505S-1WR3","B0505S-1WR3","11.5","34","Top","270.0","5V"
"PS2","Reg_SOT89","SOT89","17.779","44.766","Top","0.0",""
"R1","RES_0603","RES_0603","21.024","27.522","Top","0.0","300"
"R2","RES_0603","RES_0603","26.5","27.522","Top","0.0","300"
"R3","RES_0603","RES_0603","32","27.507","Top","0.0","300"
"R4","RES_0603","RES_0603","36.976","27.507","Top","0.0","300"
"R5","RES_0603","RES_0603","21","41.176","Top","180.0","10k"
"R6","RES_0603","RES_0603","26.5","41.176","Top","180.0","10k"
"R7","RES_0603","RES_0603","31.5","41.176","Top","180.0","10k"
"R8","RES_0603","RES_0603","36.5","41.176","Top","180.0","10k"
"R9","RES_0805","RES_0805","18","33.5","Top","90.0","220"
"R10","RES_0603","RES_0603","21.43","47.306","Top","270.0","220"
"R11","RES_0603","RES_0603","23.018","47.306","Top","270.0","220"
"R12","RES_0603","RES_0603","24.764","47.306","Top","270.0","220"
"R13","RES_0603","RES_0603","27.304","47.306","Top","270.0","220"
"TB1","KL128H-3.5_3","KF128H-3.5-3","16.135","25.324","Top","0.0",""
"TB2","KL128L-3.5_3","KF128L-3.5-3","17.885","14.024","Top","0.0",""
"TB3","KL128H-3.5_3","KF128H-3.5-3","28.635","25.324","Top","0.0",""
"TB4","KL128L-3.5_3","KF128L-3.5-3","30.385","14.024","Top","0.0",""
"U2","SN74AC14D","TSSOP-14","34.834","45","Top","0.0",""
