"RefDes","Value","Name","Quantity","Manufacturer","MFG P/N"
"C1, C2","1uF","NP_1uF_50V_0805","2","CCTC","TCC0805X7R105K500DTB"
"C3","2.2uF","NP_2.2uF_16V_0805","1","Samsung Electro-Mechanics","CL21B225KOFNNNE"
"C4, C5, C6, C7, C8","100nF","NP_100nF_50V_0603","5","KEMET","C0603C104K5RACTU"
"MOD1","","CNC_Module","1","CJT(Changjiang Connectors)","A2541WV-12P"
"OPT1","TP521-4","TLP521-4","1","Isocom Components","TLP521-4GBSM"
"PS1","5V","B0505S-1WR3","1","MORNSUN Guangzhou S&T","B0505S-1WR3"
"PS2","3.3V","LDO_3V3_150mA_SOT-89","1","Diodes Incorporated","AP2204RA-3.3TRG1"
"R1, R2, R3, R4","300R","300R_0603","4","YAGEO","RC0603FR-07330RL"
"R5, R6, R7, R8","10k","10k_0603","4","YAGEO","RC0603FR-0710KL"
"R9, R10, R11, R12, R13","220R","220R_0603","5","YAGEO","RC0603FR-07220RL"
"TB1, TB2","","KL128H-3.5_3x2","2","KEFA","KF128A-3.5 3P"
"U2","","SN74AC14D","1","Texas Instruments","SN74HC14PWR"
