"RefDes","Name","Pattern","X (in)","Y (in)","Side","Rotate","Value"
"C1","NP_1uF_50V_0805","CAP_0805_N","0.5315","1.8503","Top","90.0","1uF"
"C2","NP_1uF_50V_0805","CAP_0805_N","0.5315","1.6627","Top","270.0","1uF"
"C3","NP_2.2uF_16V_0805","CAP_0805_N","0.709","1.1617","Top","90.0","2.2uF"
"C4","NP_100nF_50V_0603","CAP_0603_N","1.5753","1.7752","Top","270.0","100nF"
"C5","NP_100nF_50V_0603","CAP_0603_N","1.0253","1.5628","Top","180.0","100nF"
"C6","NP_100nF_50V_0603","CAP_0603_N","1.2253","1.5628","Top","180.0","100nF"
"C7","NP_100nF_50V_0603","CAP_0603_N","1.4252","1.5628","Top","180.0","100nF"
"C8","NP_100nF_50V_0603","CAP_0603_N","0.8252","1.5628","Top","180.0","100nF"
"MOD1","CNC_Module","CNC_Module_V3","1.0239","1.9688","Top","0.0",""
"OPT1","TLP521-4","TLP521-4SM","1.142","1.3319","Top","180.0","TP521-4"
"PS1","B0505S-1WR3","B0505S-1WR3","0.4531","1.3389","Top","270.0","5V"
"PS2","LDO_3V3_150mA_SOT-89","SOT89","0.7002","1.7627","Top","0.0","3.3V"
"R1","300R_0603","RES_0603","0.828","1.0838","Top","0.0","300R"
"R2","300R_0603","RES_0603","1.0436","1.0838","Top","0.0","300R"
"R3","300R_0603","RES_0603","1.2601","1.0832","Top","0.0","300R"
"R4","300R_0603","RES_0603","1.4561","1.0832","Top","0.0","300R"
"R5","10k_0603","RES_0603","0.8271","1.6214","Top","180.0","10k"
"R6","10k_0603","RES_0603","1.0436","1.6214","Top","180.0","10k"
"R7","10k_0603","RES_0603","1.2405","1.6214","Top","180.0","10k"
"R8","10k_0603","RES_0603","1.4373","1.6214","Top","180.0","10k"
"R9","220R_0603","RES_0603","0.7027","1.3317","Top","90.0","220R"
"R10","220R_0603","RES_0603","0.844","1.8628","Top","270.0","220R"
"R11","220R_0603","RES_0603","0.9065","1.8628","Top","270.0","220R"
"R12","220R_0603","RES_0603","0.9752","1.8628","Top","270.0","220R"
"R13","220R_0603","RES_0603","1.0752","1.8628","Top","270.0","220R"
"TB2","KL128H-3.5_3x2","KF128-3.5-3x2","1.1322","0.9944","Top","0.0",""
"U2","SN74AC14D","TSSOP-14","1.3717","1.772","Top","0.0",""
"TB1","KL128H-3.5_3x2","KF128-3.5-3x2","0.6302","0.9944","Top","0.0",""
