"Designator","Mid X","Mid Y","Layer","Rotation"
"JP1","13.943","37.308","Top","90.0"
"J1","15.213","17.623","Top","0.0"
"MOD1","26.008","50.008","Top","0.0"
"J2","20.293","12.543","Top","0.0"
"J3","25.373","17.623","Top","0.0"
"C1","32.041","25.719","Top","0.0"
"C2","32.041","27.942","Top","0.0"
"C3","32.041","30.164","Top","0.0"
"C4","32.041","32.387","Top","0.0"
"R1","21.563","36.673","Top","270.0"
"R2","24.103","36.673","Top","270.0"
"R3","26.643","36.673","Top","270.0"
"R4","29.183","36.673","Top","270.0"
"R5","19.658","23.338","Top","90.0"
"R6","22.198","23.338","Top","90.0"
"R7","24.738","23.338","Top","90.0"
"R8","27.278","23.338","Top","90.0"
"J4","30.453","12.543","Top","0.0"
"U1","24.103","43.023","Top","90.0"
"C5","30.453","46.039","Top","0.0"
