"RefDes","Name","Pattern","X (in)","Y (in)","Side","Rotate","Value"
"C1","CAP_NP_1206","CAP_1206","0.9002","1.7878","Top","180.0","10uF"
"C2","","CAP_1206","0.9002","1.6815","Top","180.0","22uF"
"C3","CAP_0805","CAP_0805","1.3628","1.6628","Top","180.0","100nF"
"MOD1","CNC_Module_Socket_V3","CNC_Module_V3","1.0239","1.9688","Top","0.0",""
"R1","RES_0805","RES_0805","0.844","1.5127","Top","90.0","10k"
"R2","RES_0805","RES_0805","0.9253","1.5127","Top","90.0","10k"
"R3","RES_0805","RES_0805","0.5877","1.219","Top","0.0","10k"
"R4","RES_0805","RES_0805","0.7566","1.219","Top","180.0","20k"
"R5","RES_0805","RES_0805","0.8316","1.1065","Top","180.0","120"
"R6","RES_0805","RES_0805","0.9878","1.1065","Top","180.0","20k"
"TB1","TB_3p5mm_3POS","TB_HEADER_3P__1945119","0.9373","0.7815","Top","0.0",""
"U1","AMS1117","SOT223-4","0.5878","1.6878","Top","180.0","3.3V"
"U2","MAX485CSA","SOIC-8/150mil","1.294","1.5003","Top","0.0",""
