"RefDes","Name","Pattern","X (mm)","Y (mm)","Side","Rotate","Value"
"C1","CAP_NP_1206","CAP_1206","56.99","89.563","Top","90.0","10uF"
"C2","CAP_NP_1206","CAP_1206","95.142","78.352","Top","270.0","10uF"
"C3","CAP_NP_1206","CAP_0805","91.977","79.93","Top","0.0","100nF"
"C4","CAP_NP_1206","CAP_0805","84.616","75.459","Top","180.0","150pF"
"C5","CAP_NP_1206","CAP_1206","94.298","87.071","Top","90.0","22uF 6.3V"
"C6","CAP_NP_1206","CAP_0805","39.842","60.165","Top","0.0","100nF"
"C7","CAP_NP_1206","CAP_0805","116.36","60.165","Top","0.0","100nF"
"C13","CAP_NP_1206","CAP_0805","78.577","60.165","Top","0.0","100nF"
"C14","CAP_NP_1206","CAP_0805","118.744","85.406","Top","180.0","100nF"
"C17","","CAPAE-10.3x10.3h16.5","26.51","53.235","Top","90.0","330uF 50V"
"C18","","CAPAE-10.3x10.3h16.5","48.1","53.235","Top","90.0","330uF 50V"
"C19","","CAPAE-10.3x10.3h16.5","67.15","53.235","Top","90.0","330uF 50V"
"C20","","CAPAE-10.3x10.3h16.5","88.74","53.235","Top","90.0","330uF 50V"
"C21","","CAPAE-10.3x10.3h16.5","106.52","53.235","Top","90.0","330uF 50V"
"C22","","CAPAE-10.3x10.3h16.5","127.634","53.235","Top","90.0","330uF 50V"
"C23","CAP_NP_1206","CAP_0805","30.317","60.641","Top","0.0","100nF"
"C24","CAP_NP_1206","CAP_0805","51.908","60.641","Top","0.0","100nF"
"C25","CAP_NP_1206","CAP_0805","70.957","60.641","Top","0.0","100nF"
"C26","CAP_NP_1206","CAP_0805","92.548","60.641","Top","0.0","100nF"
"C27","CAP_NP_1206","CAP_0805","110.327","60.641","Top","0.0","100nF"
"C28","CAP_NP_1206","CAP_0805","76.836","67.626","Top","180.0","100nF"
"D1","10BQ100","b340a-13-f","12.54","105.25","Top","90.0",""
"D2","10BQ100","b340a-13-f","91.027","82.902","Top","0.0",""
"J1","1x19 Female Header 0.1 ","HDR-1x19","34.13","96.36","Top","0.0",""
"J3","1x19 Female Header 0.1 ","HDR-1x19","34.13","93.82","Top","0.0",""
"J4","Header, Male 1.3 0.1 ","HDR-1x3T/2.54/7x2","138.905","34.765","Top","270.0",""
"J5","Header, Male 1.3 0.1 ","HDR-1x3T/2.54/7x2","12.857","46.036","Top","270.0",""
"J6","1x19 Female Header 0.1 ","HDR-1x19","34.13","68.42","Top","0.0",""
"J8","Header, Male 1.3 0.1 ","HDR-1x3T/2.54/7x2","76.04","70.008","Top","0.0",""
"J9","HDR-1x19","HDR-1x19","34.13","70.96","Top","0.0",""
"J12","HDR-2x6","HDR-2x6","45.75","85.25","Top","0.0",""
"J14","Header 1x8 Socket","HDR-1x8","18.89","35.4","Top","270.0",""
"J15","Header 1x8 Socket","HDR-1x8","39.21","35.4","Top","270.0",""
"J16","Header 1x8 Socket","HDR-1x8","59.53","35.4","Top","270.0",""
"J17","Header 1x8 Socket","HDR-1x8","79.85","35.4","Top","270.0",""
"J18","Header 1x8 Socket","HDR-1x8","100.17","35.4","Top","270.0",""
"J19","Header 1x8 Socket","HDR-1x8","120.49","35.4","Top","270.0",""
"J20","Header 1x2 Socket","HDR-1x2","22.7","44.29","Top","180.0",""
"J21","Header 1x2 Socket","HDR-1x2","43.02","44.29","Top","180.0",""
"J22","Header 1x2 Socket","HDR-1x2","63.34","44.29","Top","180.0",""
"J23","Header 1x2 Socket","HDR-1x2","83.66","44.29","Top","180.0",""
"J24","Header 1x2 Socket","HDR-1x2","103.98","44.29","Top","180.0",""
"J25","Header 1x2 Socket","HDR-1x2","124.3","44.29","Top","180.0",""
"J26","Header 1x8 Socket","HDR-1x8","31.59","35.4","Top","270.0",""
"J27","Header 1x8 Socket","HDR-1x8","51.91","35.4","Top","270.0",""
"J28","Header 1x8 Socket","HDR-1x8","72.23","35.4","Top","270.0",""
"J29","Header 1x8 Socket","HDR-1x8","92.55","35.4","Top","270.0",""
"J30","Header 1x8 Socket","HDR-1x8","112.87","35.4","Top","270.0",""
"J31","Header 1x8 Socket","HDR-1x8","133.19","35.4","Top","270.0",""
"J33","DC3-10P","DC3-10P","30.32","124.3","Top","180.0","JTAG"
"JP1","Jumper_3p","HDR-1x3","18.89","56.355","Top","90.0",""
"JP2","Jumper_3p","HDR-1x3","16.35","56.355","Top","90.0",""
"JP3","Jumper_3p","HDR-1x3","13.81","56.355","Top","90.0",""
"JP4","Jumper_3p","HDR-1x3","12.858","26.034","Top","90.0",""
"L1","IND_1210","Inductor 06030","85.25","80.75","Top","90.0","4.7uH"
"MOD1","CNC_Module_Socket_V3","CNC_Module_V3","27.78","101.44","Top","180.0",""
"MOD2","CNC_Module_Socket_V3","CNC_Module_V3","60.8","101.44","Top","180.0",""
"MOD3","CNC_Module_Socket_V3","CNC_Module_V3","93.82","101.44","Top","180.0",""
"MOD4","CNC_Module_Socket_V3","CNC_Module_V3","126.749","101.44","Top","180.0",""
"MOD5","CNC_Module_Socket_V3","CNC_Module_V3","102.71","82.39","Top","90.0",""
"R1","RES_0805","RES_0805","95.142","74.098","Top","90.0","100k"
"R2","RES_0805","RES_0805","84.616","73.148","Top","180.0","100k"
"R3","RES_0805","RES_0805","84.535","70.837","Top","0.0","40.2k"
"R4","RES_0805","RES_0805","87.547","71.787","Top","90.0","210k"
"R5","RES_0805","RES_0805","44.29","90.169","Top","90.0","10k"
"R6","RES_0805","RES_0805","46.75","90.25","Top","90.0","10k"
"R7","RES_0805","RES_0805","49.341","90.25","Top","90.0","10k"
"R8","RES_0805","RES_0805","51.91","90.328","Top","90.0","10k"
"SD1","TF-01A","TF-01A","23.35","89.75","Top","0.0",""
"TB1","TB_5mm_2POS","TB_5mm_2POS","138.27","55.879","Top","90.0",""
"TB2","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","25.41","17.62","Top","0.0",""
"TB3","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","45.73","17.62","Top","0.0",""
"TB4","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","66.05","17.62","Top","0.0",""
"TB5","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","86.37","17.62","Top","0.0",""
"TB6","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","106.69","17.62","Top","0.0",""
"TB7","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","127.01","17.62","Top","0.0",""
"U1","MP1584EN","MP1584EN","87.472","78.052","Top","270.0","MP1584EN"
"U2","74AHCT595","SOIC-16/150mil","38.1","54.133","Top","0.0","74AHCT595"
"U3","74AHCT595","SOIC-16/150mil","117.475","54.133","Top","0.0","74AHCT595"
"U4","74AHCT595","SOIC-16/150mil","78.74","54.133","Top","0.0","74AHCT595"
"U5","74AHCT595","SOIC-16/150mil","119.061","78.739","Top","0.0","74AHCT595"
"C8","","CAPAE-6.6x6.6h5.4","77.151","83.977","Top","180.0","100u 16V"
"C9","CAP_NP_1206","CAP_1206","75.998","78.781","Top","0.0","22uF 6.3V"
"LED1","LED_0805","LED_0805","75.564","89.216","Top","180.0",""
"R10","RES_0805","RES_0805","79.691","89.216","Top","180.0","220"
