"RefDes","Name","Pattern","X (in)","Y (in)","Side","Rotate","Value"
"C1","NP_100nF_50V_0805","CAP_NP_0805","1.5689","2.369","Top","0.0","100nF"
"C2","NP_100nF_50V_0805","CAP_NP_0805","1.1939","2.3877","Top","0.0","100nF"
"C3","NP_100nF_50V_0805","CAP_NP_0805","2.0439","2.3878","Top","0.0","100nF"
"C4","NP_100nF_50V_0805","CAP_NP_0805","2.7939","2.3878","Top","0.0","100nF"
"C5","NP_100nF_50V_0805","CAP_NP_0805","3.6439","2.3878","Top","0.0","100nF"
"C6","NP_100nF_50V_0805","CAP_NP_0805","4.3439","2.3878","Top","0.0","100nF"
"C7","NP_100nF_50V_0805","CAP_NP_0805","2.9441","2.6628","Top","180.0","100nF"
"C8","NP_1206_DNP","CAP_1206","2.3752","3.744","Top","270.0","DNP"
"C9","NP_100nF_50V_0805","CAP_NP_0805","3.0939","2.369","Top","0.0","100nF"
"C10","POL_330uF_50V_10x10","CAPAE-10.3x10.3h16.5","1.044","2.0962","Top","90.0","330uF"
"C11","NP_100nF_50V_0805","CAP_NP_0805","4.5814","2.369","Top","0.0","100nF"
"C12","POL_330uF_50V_10x10","CAPAE-10.3x10.3h16.5","1.894","2.0962","Top","90.0","330uF"
"C13","NP_100nF_50V_0805","CAP_NP_0805","4.6753","3.3628","Top","180.0","100nF"
"C14","NP_10uF_50V_1206","CAP_1206","2.2377","3.5304","Top","90.0","10uF"
"C15","POL_330uF_50V_10x10","CAPAE-10.3x10.3h16.5","2.644","2.0962","Top","90.0","330uF"
"C16","NP_100nF_50V_0805","CAP_NP_0805","3.4127","2.969","Top","0.0","100nF"
"C17","NP_10uF_50V_1206","CAP_1206","3.3003","2.9002","Top","270.0","10uF"
"C18","POL_100uF_16V_6.3x5.4","CAPAE-6.6x6.6h5.4","2.9565","3.3065","Top","180.0","100uF 16V"
"C19","CAP_NP_1206","CAP_1206","2.9111","3.1019","Top","0.0","22uF 6.3V"
"C20","NP_22uF_6.3V_1206","CAP_1206","3.3753","3.4003","Top","0.0","22uF"
"C21","POL_330uF_50V_10x10","CAPAE-10.3x10.3h16.5","3.494","2.0962","Top","90.0","330uF"
"C22","NP_3.3nF_50V_0603","CAP_0603","3.7128","2.8627","Top","0.0","3.3nF"
"C23","POL_330uF_50V_10x10","CAPAE-10.3x10.3h16.5","4.194","2.0962","Top","90.0","330uF"
"C24","POL_330uF_50V_10x10","CAPAE-10.3x10.3h16.5","5.0253","2.0962","Top","90.0","330uF"
"D1","10BQ100","b340a-13-f","0.494","4.144","Top","90.0",""
"J1","HDR Socket 1x2 0.1 ","HDR-1x2","0.894","1.744","Top","180.0",""
"J2","HDR Socket 1x8 0.1 ","HDR-1x8","0.744","1.394","Top","270.0",""
"J3","HDR Socket 1x8 0.1 ","HDR-1x8","1.244","1.394","Top","270.0",""
"J4","HDR Socket 1x19 0.1 ","HDR-1x19","1.344","3.794","Top","0.0",""
"J5","HDR Socket 1x19 0.1 ","HDR-1x19","1.344","3.694","Top","0.0",""
"J6","HDR Socket 1x19 0.1 ","HDR-1x19","1.344","2.694","Top","0.0",""
"J7","HDR Socket 1x19 0.1 ","HDR-1x19","1.344","2.794","Top","0.0",""
"J8","HDR Socket 1x2 0.1 ","HDR-1x2","1.694","1.744","Top","180.0",""
"J9","HDR Socket 1x8 0.1 ","HDR-1x8","1.544","1.394","Top","270.0",""
"J10","HDR Socket 1x8 0.1 ","HDR-1x8","2.044","1.394","Top","270.0",""
"J11","DC3-10P","DC3-10P","1.194","4.894","Top","180.0","JTAG"
"J12","HDR Socket 1x2 0.1 ","HDR-1x2","2.494","1.744","Top","180.0",""
"J13","HDR Socket 1x8 0.1 ","HDR-1x8","2.344","1.394","Top","270.0",""
"J14","HDR Socket 1x8 0.1 ","HDR-1x8","2.844","1.394","Top","270.0",""
"J15","HDR Socket 1x2 0.1 ","HDR-1x2","3.294","1.744","Top","180.0",""
"J16","HDR Socket 1x8 0.1 ","HDR-1x8","3.144","1.394","Top","270.0",""
"J17","HDR Socket 1x8 0.1 ","HDR-1x8","3.644","1.394","Top","270.0",""
"J18","HDR Pin 2x6 0.1 ","HDR-2x6","1.8015","3.3566","Top","0.0",""
"J19","HDR Socket 1x2 0.1 ","HDR-1x2","4.094","1.744","Top","180.0",""
"J20","HDR Socket 1x8 0.1 ","HDR-1x8","3.944","1.394","Top","270.0",""
"J21","HDR Socket 1x8 0.1 ","HDR-1x8","4.444","1.394","Top","270.0",""
"J22","HDR Pin 1x3 0.1 ","HDR-1x3","2.9127","2.7565","Top","0.0",""
"J23","HDR Pin 1x3 0.1 ","HDR-1x3","5.469","1.369","Top","270.0",""
"J24","HDR Pin 1x3 0.1 ","HDR-1x3","0.5065","1.8127","Top","270.0",""
"J25","HDR Socket 1x2 0.1 ","HDR-1x2","4.894","1.744","Top","180.0",""
"J26","HDR Socket 1x8 0.1 ","HDR-1x8","4.744","1.394","Top","270.0",""
"J27","HDR Socket 1x8 0.1 ","HDR-1x8","5.244","1.394","Top","270.0",""
"JP1","Jumper_3p","HDR-1x3","0.744","2.219","Top","90.0",""
"JP2","Jumper_3p","HDR-1x3","0.544","2.219","Top","90.0",""
"JP3","Jumper_3p","HDR-1x3","0.5065","1.0252","Top","90.0",""
"JP4","Jumper_3p","HDR-1x3","0.644","2.219","Top","90.0",""
"L1","5.6uH_SMD_10.0_11.5","INDUCTOR_MS1040","3.694","3.2127","Top","90.0","5.6uH"
"LED1","LED_GRN_0805 (Foshan)","LED_0805","2.9127","3.5127","Top","180.0","GRN"
"MOD1","CNC_Module","CNC_Module_V3","1.094","3.994","Top","180.0",""
"MOD2","CNC_Module","CNC_Module_V3","2.394","3.994","Top","180.0",""
"MOD3","CNC_Module","CNC_Module_V3","3.694","3.994","Top","180.0",""
"MOD4","CNC_Module","CNC_Module_V3","4.9904","3.994","Top","180.0",""
"MOD5","CNC_Module","CNC_Module_V3","4.044","3.244","Top","90.0",""
"R1","115K_0603","RES_0603","3.6753","2.7065","Top","0.0","115k"
"R2","22.1k_0603","RES_0603","3.5503","2.7065","Top","0.0","22.1k"
"R3","200k_0603","RES_0603","3.4253","2.7065","Top","180.0","200k"
"R4","41.2k_0603","RES_0603","3.7127","2.8128","Top","180.0","42.1k"
"R5","10k_0805","RES_0805","1.744","3.5502","Top","90.0","10k"
"R6","10k_0805","RES_0805","1.8409","3.5534","Top","90.0","10k"
"R7","10k_0805","RES_0805","1.9429","3.5534","Top","90.0","10k"
"R8","10k_0805","RES_0805","2.044","3.5565","Top","90.0","10k"
"R9","3.0k_0805","RES_0805","3.0752","3.5127","Top","180.0","3.0k"
"SD1","TF-01A","TF-01A_Rev2","0.6696","3.2588","Top","0.0","Micro SD"
"TB1","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","1.0007","0.694","Top","0.0",""
"TB2","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","1.8007","0.694","Top","0.0",""
"TB3","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","2.6007","0.694","Top","0.0",""
"TB4","TB_3p5mm_2POS Socket","TB_5mm_2POS","5.444","2.2002","Top","90.0",""
"TB5","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","3.4007","0.694","Top","0.0",""
"TB6","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","4.2007","0.694","Top","0.0",""
"TB7","TB_3.5mm_4POS_PHOENIX_1945119","TB_HEADER_4P__1945119","5.0007","0.694","Top","0.0",""
"U1","74AHCT595","SOIC-16/150mil","1.5003","2.1315","Top","0.0","74AHCT595"
"U2","74AHCT595","SOIC-16/150mil","3.1003","2.1315","Top","0.0","74AHCT595"
"U3","74AHCT595","SOIC-16/150mil","4.6253","2.1315","Top","0.0","74AHCT595"
"U4","74AHCT595","SOIC-16/150mil","4.6877","3.1002","Top","0.0","74AHCT595"
"U5","AP64350","AP64350","3.494","2.8378","Top","270.0","AP64350SP-13"
