"RefDes","Origin X (mm)","Origin Y (mm)","Side","Rotate"
"C1","39.85","60.173","Top","0.0"
"C2","30.111","60.649","Top","0.0"
"C3","51.701","60.649","Top","0.0"
"C4","70.751","60.649","Top","0.0"
"C5","92.341","60.649","Top","0.0"
"C6","110.099","60.649","Top","0.0"
"C7","74.995","67.634","Top","180.0"
"C8","60.332","95.098","Top","270.0"
"C9","78.585","60.173","Top","0.0"
"C10","26.518","53.243","Top","90.0"
"C11","116.368","60.173","Top","0.0"
"C12","48.108","53.243","Top","90.0"
"C13","122.72","85.256","Top","0.0"
"C14","67.158","53.243","Top","90.0"
"C15","91.193","78.271","Top","0.0"
"C16","84.621","76.207","Top","0.0"
"C17","84.621","73.825","Top","0.0"
"C18","85.097","89.224","Top","0.0"
"C19","85.097","86.843","Top","0.0"
"C20","75.095","83.985","Top","180.0"
"C21","96.686","73.984","Top","180.0"
"C22","88.748","53.243","Top","90.0"
"C23","98.273","74.619","Top","90.0"
"C24","106.528","53.243","Top","90.0"
"C25","127.642","53.243","Top","90.0"
"D1","12.548","107.48","Top","90.0"
"D2","91.193","81.763","Top","180.0"
"J1","22.708","44.298","Top","180.0"
"J2","18.898","35.408","Top","270.0"
"J3","31.598","35.408","Top","270.0"
"J4","34.138","96.368","Top","0.0"
"J5","34.138","93.828","Top","0.0"
"J6","34.138","68.428","Top","0.0"
"J7","34.138","70.968","Top","0.0"
"J8","43.028","44.298","Top","180.0"
"J9","39.218","35.408","Top","270.0"
"J10","51.918","35.408","Top","270.0"
"J11","30.328","124.308","Top","180.0"
"J12","63.348","44.298","Top","180.0"
"J13","59.538","35.408","Top","270.0"
"J14","72.238","35.408","Top","270.0"
"J15","83.668","44.298","Top","180.0"
"J16","79.858","35.408","Top","270.0"
"J17","92.558","35.408","Top","270.0"
"J18","45.758","85.258","Top","0.0"
"J19","103.988","44.298","Top","180.0"
"J20","100.178","35.408","Top","270.0"
"J21","112.878","35.408","Top","270.0"
"J22","73.984","70.016","Top","0.0"
"J23","138.913","34.773","Top","270.0"
"J24","12.866","46.044","Top","270.0"
"J25","132.563","125.578","Top","90.0"
"J26","124.308","44.298","Top","180.0"
"J27","120.498","35.408","Top","270.0"
"J28","133.198","35.408","Top","270.0"
"JP1","18.898","56.363","Top","90.0"
"JP2","13.818","56.363","Top","90.0"
"JP3","12.866","26.042","Top","90.0"
"JP4","16.358","56.363","Top","90.0"
"L1","91.129","87.954","Top","180.0"
"LED1","73.984","89.224","Top","180.0"
"MOD1","27.788","101.448","Top","180.0"
"MOD2","60.808","101.448","Top","180.0"
"MOD3","93.828","101.448","Top","180.0"
"MOD4","126.757","101.448","Top","180.0"
"MOD5","102.718","82.398","Top","90.0"
"R1","52.871","73.825","Top","0.0"
"R2","92.399","71.762","Top","180.0"
"R3","88.907","71.762","Top","180.0"
"R4","96.686","75.102","Top","180.0"
"R5","94.622","71.762","Top","180.0"
"R6","44.298","90.177","Top","90.0"
"R7","46.758","90.258","Top","90.0"
"R8","49.349","90.258","Top","90.0"
"R9","51.918","90.336","Top","90.0"
"R10","77.852","89.224","Top","180.0"
"SD1","17.008","82.773","Top","0.0"
"TB1","25.416","17.628","Top","0.0"
"TB2","45.736","17.628","Top","0.0"
"TB3","66.056","17.628","Top","0.0"
"TB4","138.278","55.887","Top","90.0"
"TB5","86.376","17.628","Top","0.0"
"TB6","106.696","17.628","Top","0.0"
"TB7","127.016","17.628","Top","0.0"
"U1","38.108","54.141","Top","0.0"
"U2","78.748","54.141","Top","0.0"
"U3","117.483","54.141","Top","0.0"
"U4","119.069","78.747","Top","0.0"
"U5","91.193","75.091","Top","270.0"
